benchmark,total_time_gift,total_time_no_gift,total_time_improvement,placement_time_gift,placement_time_no_gift,placement_time_improvement,final_hpwl_gift,final_hpwl_no_gift,final_hpwl_improvement,iterations_gift,iterations_no_gift,iterations_improvement,gift_time_gift,gift_time_no_gift,gift_time_improvement
FPGA03,20.804,18.055,-15.22569925228468,20.56,17.74,-15.896279594137544,2016995.0,1854758.0,-8.747071046465361,510,643,20.684292379471227,4.918,,
FPGA10,38.023,34.041,-11.697658705678467,37.48,33.38,-12.282804074295967,3310378.0,2904045.0,-13.991966377931472,486,652,25.4601226993865,6.45,,
FPGA02,12.618,12.369,-2.0130972592772296,12.51,12.21,-2.457002457002448,474502.2,459129.8,-3.348159932115063,547,663,17.49622926093514,2.427,,
FPGA11,35.726,29.745,-20.10758110606824,35.22,29.16,-20.781893004115222,6696891.0,6687535.0,-0.13990207154056017,501,660,24.09090909090909,8.451,,
FPGA05,20.833,20.33,-2.4741760944417126,20.58,20.01,-2.8485757121439117,6920162.0,19921620.0,65.26305591613534,479,756,36.64021164021164,4.824,,
FPGA01,9.021,9.207,2.0202020202020194,8.96,9.09,1.4301430143014193,191745.8,191595.3,-0.07855098741983754,447,559,20.03577817531306,1.754,,
FPGA09,35.917,29.947,-19.935218886699847,35.41,29.34,-20.688479890933866,7206206.0,7034648.0,-2.438757418992393,498,656,24.085365853658537,8.688,,
FPGA04,25.435,18.167,-40.00660538338744,25.18,17.85,-41.06442577030811,41208260.0,3588629.0,-1048.300924949333,782,636,-22.955974842767297,4.74,,
FPGA-example4,35.698,29.663,-20.34521120587938,35.21,29.07,-21.121431028551775,6484371.0,5969185.0,-8.630759475539792,502,656,23.47560975609756,8.317,,
FPGA07,29.648,29.299,-1.1911669340250528,29.24,28.8,-1.52777777777777,5545239.0,96060390.0,94.22734073846671,484,839,42.31227651966627,6.307,,
FPGA06,29.834,25.861,-15.362901666602216,29.43,25.36,-16.048895899053626,3168173.0,2949487.0,-7.414374092850723,498,644,22.67080745341615,6.196,,
FPGA-example2,24.665,21.852,-12.872963573128313,24.36,21.46,-13.513513513513505,2226807.0,2151788.0,-3.4863564626255004,507,658,22.9483282674772,5.243,,
FPGA-example1,8.636,8.573,-0.7348652746996248,8.63,8.52,-1.291079812206587,9099.511,9105.769,0.06872566172060604,588,636,7.547169811320755,1.164,,
FPGA12,44.348,37.98,-16.766719325961038,43.71,37.23,-17.405318291700254,4239159.0,3515524.0,-20.5839869106284,498,668,25.449101796407188,8.852,,
FPGA08,33.678,25.279,-33.22520669330273,33.27,24.77,-34.31570448122731,5885880.0,5972074.0,1.4432841923927935,513,666,22.972972972972975,10.206,,
FPGA-example3,20.959,18.514,-13.206222318245652,20.71,18.19,-13.853765805387571,5925911.0,5908807.0,-0.28946621543062756,482,627,23.125996810207337,4.762,,
