Benchmark,HPWL_No_GiFt,HPWL_With_GiFt,HPWL_Improvement_%,Iterations_No_GiFt,Iterations_With_GiFt,Time_No_GiFt_s,Time_With_GiFt_s,GiFt_Opt_Time_s,Adj_Matrix_Time_s
FPGA05,14039590.0,9262400.0,34.02656345377607,772,574,229.92,211.79,27.761,8.946
FPGA08,6034400.0,5850203.0,3.05244929073313,664,521,212.54,235.31,49.442,18.625
FPGA-example1,9248.346,9023.976,2.426055426559506,641,552,168.22,149.35,0.204,0.069
FPGA02,433320.5,430984.9,0.5390005780940381,653,544,181.68,167.11,10.385,3.378
FPGA-example3,5903730.0,5929997.0,-0.444922108565263,625,494,187.99,188.0,26.975,8.534
FPGA11,6690198.0,6753870.0,-0.9517207114049538,659,517,222.09,249.3,53.513,16.973
FPGA01,191892.4,194195.7,-1.2003080893250684,551,462,150.55,136.88,6.377,1.789
FPGA-example4,5966627.0,6039354.0,-1.2188963714339778,661,519,224.87,249.07,52.93,16.789
FPGA09,7033053.0,7119289.0,-1.226153137193762,655,513,223.82,251.72,55.233,17.55
FPGA-example2,2156291.0,2242489.0,-3.997512395126632,661,526,208.61,212.58,34.141,10.643
FPGA12,3516876.0,3698522.0,-5.1649816484857585,673,520,252.15,288.17,67.014,18.851
FPGA10,2903801.0,3108813.0,-7.0601256766562175,656,506,239.79,265.96,56.784,14.689
